seed,run_id,run_dir,val_best_f1@0.5,test_f1@0.5,test_acc@0.5,test_fp@0.5,test_fn@0.5,slang_tn@0.5,slang_fp@0.5,slang_accuracy@0.5,verlan_test_set_accuracy@0.5,verlan_test_set_f1@0.5,verlan_test_set_invented_accuracy@0.5,verlan_test_set_invented_f1@0.5
1,seed-1,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/E2E+BERT/seed-1,0.8141263940520446,0.8006230529595015,0.8499413833528722,65,63,44,6,0.88,0.7068965517241379,0.6666666666666666,0.52,0.14285714285714285
2,seed-2,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/E2E+BERT/seed-2,0.827708703374778,0.821656050955414,0.8686987104337632,50,62,38,12,0.76,0.7758620689655172,0.7547169811320755,0.54,0.14814814814814814
3,seed-3,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/E2E+BERT/seed-3,0.7992957746478874,0.8057324840764332,0.8569753810082064,55,67,40,10,0.8,0.7931034482758621,0.76,0.54,0.14814814814814814
4,seed-4,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/E2E+BERT/seed-4,0.8480565371024735,0.8077496274217586,0.8487690504103166,80,49,39,11,0.78,0.7758620689655172,0.7636363636363637,0.5,0.13793103448275862
5,seed-5,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/E2E+BERT/seed-5,0.7783783783783784,0.7714285714285715,0.8311840562719812,67,77,43,7,0.86,0.7758620689655172,0.7547169811320755,0.54,0.14814814814814814
6,seed-6,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/E2E+BERT/seed-6,0.7787610619469026,0.7642526964560863,0.82063305978898,81,72,40,10,0.8,0.8103448275862069,0.8,0.52,0.14285714285714285
7,seed-7,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/E2E+BERT/seed-7,0.8201438848920863,0.8025078369905956,0.8522860492379836,62,64,46,4,0.92,0.7931034482758621,0.7692307692307693,0.5,0.13793103448275862
8,seed-8,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/E2E+BERT/seed-8,0.8042704626334519,0.8300153139356815,0.8698710433763188,62,49,38,12,0.76,0.7931034482758621,0.7777777777777778,0.54,0.30303030303030304
9,seed-9,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/E2E+BERT/seed-9,0.8237410071942446,0.8340943683409436,0.8722157092614302,63,46,39,11,0.78,0.7931034482758621,0.7857142857142857,0.58,0.36363636363636365
10,seed-10,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/E2E+BERT/seed-10,0.775438596491228,0.8105726872246696,0.8487690504103166,85,44,42,8,0.84,0.7586206896551724,0.75,0.52,0.14285714285714285
11,seed-11,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/E2E+BERT/seed-11,0.838160136286201,0.8410104011887073,0.8745603751465416,70,37,42,8,0.84,0.7758620689655172,0.7547169811320755,0.56,0.21428571428571427
12,seed-12,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/E2E+BERT/seed-12,0.8407871198568873,0.8297213622291022,0.8710433763188745,58,52,43,7,0.86,0.7931034482758621,0.7692307692307693,0.52,0.14285714285714285
13,seed-13,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/E2E+BERT/seed-13,0.7911275415896488,0.8173076923076923,0.8663540445486518,49,65,46,4,0.92,0.7413793103448276,0.7058823529411765,0.54,0.14814814814814814
14,seed-14,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/E2E+BERT/seed-14,0.5761194029850746,0.6111111111111112,0.6553341148886284,205,89,34,16,0.68,0.603448275862069,0.676056338028169,0.52,0.5
15,seed-15,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/E2E+BERT/seed-15,0.8213627992633518,0.838006230529595,0.8780773739742087,53,51,40,10,0.8,0.7931034482758621,0.7692307692307693,0.54,0.20689655172413793
16,seed-16,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/E2E+BERT/seed-16,0.805414551607445,0.7964860907759883,0.8370457209847597,91,48,42,8,0.84,0.7931034482758621,0.7857142857142857,0.56,0.3125
17,seed-17,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/E2E+BERT/seed-17,0.8283185840707965,0.821917808219178,0.8628370457209847,67,50,35,15,0.7,0.7931034482758621,0.7692307692307693,0.54,0.30303030303030304
18,seed-18,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/E2E+BERT/seed-18,0.8303886925795053,0.8507462686567164,0.8827667057444314,65,35,38,12,0.76,0.7586206896551724,0.7307692307692307,0.56,0.26666666666666666
19,seed-19,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/E2E+BERT/seed-19,0.8203266787658802,0.8132911392405063,0.861664712778429,55,63,41,9,0.82,0.7758620689655172,0.7547169811320755,0.56,0.26666666666666666
20,seed-20,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/E2E+BERT/seed-20,0.833922261484099,0.838006230529595,0.8780773739742087,53,51,41,9,0.82,0.7931034482758621,0.7777777777777778,0.54,0.20689655172413793
