seed,run_id,run_dir,val_best_f1@0.5,test_f1@0.5,test_acc@0.5,test_fp@0.5,test_fn@0.5,slang_tn@0.5,slang_fp@0.5,slang_accuracy@0.5
1,seed-1,models/detect/latest/bert_head/frozen/seed-1,0.7965517241379311,0.7620320855614974,0.7913247362250879,143,35,36,14,0.72
2,seed-2,models/detect/latest/bert_head/frozen/seed-2,0.8089500860585198,0.779874213836478,0.835873388042204,68,72,43,7,0.86
3,seed-3,models/detect/latest/bert_head/frozen/seed-3,0.7758346581875993,0.7688243064729194,0.794841735052755,146,29,35,15,0.7
4,seed-4,models/detect/latest/bert_head/frozen/seed-4,0.7811023622047244,0.782051282051282,0.8007033997655334,155,15,35,15,0.7
5,seed-5,models/detect/latest/bert_head/frozen/seed-5,0.7571644042232277,0.7610389610389611,0.7842907385697538,157,27,35,15,0.7
6,seed-6,models/detect/latest/bert_head/frozen/seed-6,0.7526501766784452,0.7831978319783198,0.8124267291910903,129,31,40,10,0.8
7,seed-7,models/detect/latest/bert_head/frozen/seed-7,0.7597955706984668,0.774281805745554,0.8065650644783119,128,37,39,11,0.78
8,seed-8,models/detect/latest/bert_head/frozen/seed-8,0.7801418439716312,0.7697160883280757,0.8288393903868698,70,76,44,6,0.88
9,seed-9,models/detect/latest/bert_head/frozen/seed-9,0.7967741935483871,0.7722222222222223,0.8077373974208675,122,42,41,9,0.82
10,seed-10,models/detect/latest/bert_head/frozen/seed-10,0.7937608318890814,0.7649006622516556,0.8335287221570926,53,89,44,6,0.88
11,seed-11,models/detect/latest/bert_head/frozen/seed-11,0.773851590106007,0.7750362844702468,0.8182883939038686,102,53,42,8,0.84
12,seed-12,models/detect/latest/bert_head/frozen/seed-12,0.7751371115173674,0.7763975155279503,0.8311840562719812,74,70,44,6,0.88
13,seed-13,models/detect/latest/bert_head/frozen/seed-13,0.7790893760539629,0.7461139896373057,0.8276670574443142,43,104,45,5,0.9
14,seed-14,models/detect/latest/bert_head/frozen/seed-14,0.7849462365591398,0.7394366197183099,0.8264947245017585,38,110,46,4,0.92
15,seed-15,models/detect/latest/bert_head/frozen/seed-15,0.7793103448275862,0.780952380952381,0.8382180539273154,64,74,45,5,0.9
16,seed-16,models/detect/latest/bert_head/frozen/seed-16,0.7884615384615384,0.75,0.8264947245017585,50,98,46,4,0.92
17,seed-17,models/detect/latest/bert_head/frozen/seed-17,0.7944732297063903,0.7841409691629956,0.8276670574443142,94,53,39,11,0.78
18,seed-18,models/detect/latest/bert_head/frozen/seed-18,0.8274706867671692,0.7647058823529411,0.7842907385697538,163,21,36,14,0.72
19,seed-19,models/detect/latest/bert_head/frozen/seed-19,0.7876823338735819,0.7289940828402367,0.731535756154748,217,12,24,26,0.48
20,seed-20,models/detect/latest/bert_head/frozen/seed-20,0.7936507936507936,0.7506849315068493,0.7866354044548651,136,46,35,15,0.7
