seed,run_id,run_dir,val_best_f1@0.5,test_f1@0.5,test_acc@0.5,test_fp@0.5,test_fn@0.5,slang_tn@0.5,slang_fp@0.5,slang_accuracy@0.5,verlan_test_set_accuracy@0.5,verlan_test_set_f1@0.5,verlan_test_set_invented_accuracy@0.5,verlan_test_set_invented_f1@0.5
1,seed-1,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/Frozen+LR/seed-1,,0.7855072463768116,0.8264947245017585,99,49,40,10,0.8,0.8103448275862069,0.7843137254901961,0.66,0.48484848484848486
2,seed-2,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/Frozen+LR/seed-2,,0.7736131934032984,0.8229777256740914,89,62,40,10,0.8,0.8620689655172413,0.8461538461538461,0.64,0.4375
3,seed-3,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/Frozen+LR/seed-3,,0.7554904831625183,0.8042203985932005,105,62,40,10,0.8,0.8793103448275862,0.8679245283018868,0.66,0.48484848484848486
4,seed-4,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/Frozen+LR/seed-4,,0.7565982404692082,0.8053927315357562,104,62,42,8,0.84,0.8275862068965517,0.8076923076923077,0.66,0.48484848484848486
5,seed-5,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/Frozen+LR/seed-5,,0.7558823529411764,0.8053927315357562,103,63,40,10,0.8,0.8275862068965517,0.8076923076923077,0.64,0.4375
6,seed-6,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/Frozen+LR/seed-6,,0.7518142235123367,0.7995310668229777,110,61,40,10,0.8,0.8275862068965517,0.8,0.64,0.47058823529411764
7,seed-7,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/Frozen+LR/seed-7,,0.7560627674750356,0.7995310668229777,116,55,40,10,0.8,0.8620689655172413,0.8461538461538461,0.66,0.48484848484848486
8,seed-8,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/Frozen+LR/seed-8,,0.7644444444444445,0.813599062133646,97,62,40,10,0.8,0.8448275862068966,0.8235294117647058,0.66,0.48484848484848486
9,seed-9,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/Frozen+LR/seed-9,,0.7433628318584071,0.7960140679953107,106,68,41,9,0.82,0.8620689655172413,0.8518518518518519,0.66,0.48484848484848486
10,seed-10,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/Frozen+LR/seed-10,,0.7769784172661871,0.8182883939038686,105,50,40,10,0.8,0.8620689655172413,0.8518518518518519,0.64,0.4375
11,seed-11,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/Frozen+LR/seed-11,,0.7406296851574213,0.7971864009378663,100,73,40,10,0.8,0.8620689655172413,0.8461538461538461,0.64,0.4375
12,seed-12,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/Frozen+LR/seed-12,,0.759825327510917,0.8065650644783119,106,59,40,10,0.8,0.8448275862068966,0.8235294117647058,0.64,0.47058823529411764
13,seed-13,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/Frozen+LR/seed-13,,0.7739130434782608,0.8171160609613131,103,53,41,9,0.82,0.8448275862068966,0.8301886792452831,0.66,0.48484848484848486
14,seed-14,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/Frozen+LR/seed-14,,0.7453237410071942,0.7924970691676436,116,61,40,10,0.8,0.8620689655172413,0.8461538461538461,0.64,0.4375
15,seed-15,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/Frozen+LR/seed-15,,0.7594202898550725,0.8053927315357562,108,58,41,9,0.82,0.8448275862068966,0.8235294117647058,0.66,0.48484848484848486
16,seed-16,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/Frozen+LR/seed-16,,0.7690140845070422,0.8077373974208675,117,47,40,10,0.8,0.8793103448275862,0.8679245283018868,0.66,0.48484848484848486
17,seed-17,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/Frozen+LR/seed-17,,0.7477744807121661,0.8007033997655334,102,68,40,10,0.8,0.8448275862068966,0.8235294117647058,0.66,0.5142857142857142
18,seed-18,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/Frozen+LR/seed-18,,0.7776183644189383,0.8182883939038686,106,49,40,10,0.8,0.8793103448275862,0.8679245283018868,0.64,0.4375
19,seed-19,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/Frozen+LR/seed-19,,0.7436281859070465,0.7995310668229777,99,72,40,10,0.8,0.8448275862068966,0.8301886792452831,0.66,0.48484848484848486
20,seed-20,/projects/sciences/computing/liyi5784/Verlan-Identification-Normalisation-main/experiment_results/Frozen+LR/seed-20,,0.7466266866566716,0.8018757327080891,98,71,41,9,0.82,0.8620689655172413,0.8461538461538461,0.66,0.48484848484848486
