Method,Run,F1,Accuracy
Frozen+LR,1,0.783744557329463,0.8253223915592028
Frozen+LR,2,0.7784431137724551,0.8264947245017585
Frozen+LR,3,0.7554904831625183,0.8042203985932005
Frozen+LR,4,0.7591240875912408,0.8065650644783119
Frozen+LR,5,0.7558823529411764,0.8053927315357562
Frozen+LR,6,0.7518142235123367,0.7995310668229777
Frozen+LR,7,0.7571428571428571,0.8007033997655334
Frozen+LR,8,0.7662721893491125,0.8147713950762017
Frozen+LR,9,0.7422680412371134,0.794841735052755
Frozen+LR,10,0.7792207792207793,0.82063305978898
Frozen+LR,11,0.7425149700598802,0.798358733880422
Frozen+LR,12,0.7627365356622998,0.8089097303634232
Frozen+LR,13,0.7714701601164483,0.8159437280187574
Frozen+LR,14,0.7420289855072464,0.7913247362250879
Frozen+LR,15,0.7594202898550725,0.8053927315357562
Frozen+LR,16,0.770098730606488,0.8089097303634232
Frozen+LR,17,0.7477744807121661,0.8007033997655334
Frozen+LR,18,0.7729885057471264,0.8147713950762017
Frozen+LR,19,0.7436281859070465,0.7995310668229777
Frozen+LR,20,0.7436281859070465,0.7995310668229777
E2E+LR,1,0.758,0.783
E2E+LR,2,0.758,0.79
E2E+LR,3,0.07,0.627
E2E+LR,4,0.717,0.761
E2E+LR,5,0.753,0.778
E2E+LR,6,0.695,0.722
E2E+LR,7,0.754,0.795
E2E+LR,8,0.777,0.804
E2E+LR,9,0.762,0.808
E2E+LR,10,0.811,0.839
E2E+LR,11,0.781,0.814
E2E+LR,12,0.768,0.804
E2E+LR,13,0.789,0.838
E2E+LR,14,0.762,0.8
E2E+LR,15,0.777,0.819
E2E+LR,16,0.77,0.805
E2E+LR,17,0.773,0.811
E2E+LR,18,0.743,0.766
E2E+LR,19,0.756,0.792
E2E+LR,20,0.783,0.822
Frozen+BERT,1,0.761,0.79
Frozen+BERT,2,0.782,0.837
Frozen+BERT,3,0.768,0.794
Frozen+BERT,4,0.781,0.801
Frozen+BERT,5,0.762,0.785
Frozen+BERT,6,0.786,0.815
Frozen+BERT,7,0.776,0.808
Frozen+BERT,8,0.77,0.829
Frozen+BERT,9,0.774,0.81
Frozen+BERT,10,0.763,0.832
Frozen+BERT,11,0.774,0.817
Frozen+BERT,12,0.772,0.829
Frozen+BERT,13,0.744,0.826
Frozen+BERT,14,0.739,0.826
Frozen+BERT,15,0.783,0.839
Frozen+BERT,16,0.749,0.825
Frozen+BERT,17,0.785,0.829
Frozen+BERT,18,0.764,0.784
Frozen+BERT,19,0.729,0.732
Frozen+BERT,20,0.751,0.787
E2E+BERT,1,0.77,0.829
E2E+BERT,2,0.8,0.843
E2E+BERT,3,0.787,0.836
E2E+BERT,4,0.803,0.845
E2E+BERT,5,0.806,0.856
E2E+BERT,6,0.804,0.856
E2E+BERT,7,0.758,0.802
E2E+BERT,8,0.831,0.87
E2E+BERT,9,0.791,0.836
E2E+BERT,10,0.808,0.851
E2E+BERT,11,0.815,0.864
E2E+BERT,12,0.818,0.862
E2E+BERT,13,0.821,0.866
E2E+BERT,14,0.797,0.837
E2E+BERT,15,0.821,0.864
E2E+BERT,16,0.791,0.839
E2E+BERT,17,0.792,0.837
E2E+BERT,18,0.832,0.871
E2E+BERT,19,0.8,0.843
E2E+BERT,20,0.811,0.859
