src,tgt
meuf,femme
feumeu,femme
keum,mec
keumé,mec
reuf,frère
reufré,frère
reusse,sœur
reuss,sœur
reusseu,sœur
reum,mère
reup,père
wam,moi
ouam,moi
oim,moi
wat,toi
ouat,toi
oit,toi
uil,lui
teupu,pute
tepu,pute
tassepé,pétasse
taspé,pétasse
ranpa,parents
ramps,parents
rempa,parents
remps,parents
reubeu,arabe
rebeu,arabe
jeufeu,juif
jeuf,juif
feuj,juif
renoi,noir
céfran,français
ken,nicker
kospa,pakos
beubon,bombe
bebon,bombe
babtou,toubab
keubla,black
kebla,black
noich,chinois
rotca,carotte
rotteca,carotte
chanmé,méchant
tigen,gentil
tijan,gentil
vénère,énervé
leuch,louche
ripou,pourri
relou,lourd
zarbi,bizarre
zarbe,bizarre
ouf,fou
gueudin,dingue
guedin,dingue
ass com,comme ça
asmeuk,comme ça
cheum,moche
cheumo,moche
auch,chaud
reuché,cher
reuch,cher
tipeu,petit
teubé,bête
tebé,bête
fonsdé,défoncé
foncédé,défoncé
foncedé,défoncé
cheulou,louche
chelou,louche
cheul,louche
chan-mé,méchant
keuss,sec
keus,sec
keussé,sec
veugra,grave
vegra,grave
rébou,bourré
jeuvière,vierge
avoir reup,avoir peur
zèb,baiser
iéch,chier
géman jéman,manger
pécho,choper
téma,mater
duper,perdu
méfu,fumer
zyva,vas-y
téma,mate
tema,mate
teuma,mate
pétri,triper
ouet,tuer
wet,tuer
goleri,rigoler
golri,rigoler
goléri,rigoler
chéfla,flasher
ché ap,je sais pas
rotca,carotter
rotéca,carotter
kékra,craquer
kécla,claquer
se faire rotca,"se faire carotte, se faire carotter"
se faire rotteca,"se faire carotte, se faire carotter"
tipar,parti
técla,éclater
tromé,métro
trom,métro
vago,voiture
gova,voiture
turvoi,voiture
turevoi,voiture
keutru,truc
ketru,truc
ressoi,soirée
teuf,fête
teufê,fête
garetci,cigarette
abrégé en garo,cigarette
peupon,pompes
pepon,pompes
tièp,pitié
skeud,disque
tofo,photo
tof,photo
oinj,joint
ienche,chien
iench,chien
keucla,claque
cheubou,bouche
chebou,bouche
cheumou,mouche
chemou,mouche
zen,nez
genhar,argent
zicmu,musique
abrégé en zic/zique,musique
peura,rap
téci,cité
tess,cité
meugra,gramme
beuh,herbe
beu,herbe
beuher,herbe
retba,barette
teille,bouteille
tarpé,pétard
teuchi,shit
keuss,sac
némo,monnaie
naimo,monnaie
geura,rage
deumer,merde
demer,merde
ièp,pied
iep,pied
yèp,pied
yep,pied
beuteu,bite
eins,sein
teucha,chatte
teuch,chatte
caillera,racaille
turfu,futur
